step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.2628945509550835,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
1,30,10,40,0.2583570574623906,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
2,40,20,50,0.25777853942992424,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
3,50,30,60,0.25222584319724756,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
4,60,40,70,0.247119074363074,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
5,70,50,80,0.23810181768717664,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
6,80,60,90,0.2309244541308369,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
7,90,70,100,0.2260898626134363,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
8,100,80,110,0.2217876258418456,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
9,110,90,120,0.2217648384092652,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
10,120,100,130,0.21969055607760543,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
11,130,110,140,0.2179902207167216,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
12,140,120,150,0.21722642411994333,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
13,150,130,160,0.21621996720643077,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
14,160,140,170,0.21539396590172855,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
15,170,150,180,0.2142391834711265,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
16,180,160,190,0.2126345851381543,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
17,190,170,200,0.21086598324676506,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
18,200,180,210,0.211038135716184,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
19,210,190,220,0.21050804662841868,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
20,220,200,230,0.21037448009442591,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
21,230,210,240,0.20816863281363981,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
22,240,220,250,0.20842671214587036,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
23,250,230,260,0.2079309930038389,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
24,260,240,270,0.2074279689547374,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
25,270,250,280,0.2068509474310548,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
26,280,260,290,0.20616424590375146,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
27,290,270,300,0.2058660488718939,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
28,300,280,310,0.2056169498804148,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
29,310,290,320,0.20448149222866724,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
30,320,300,330,0.20435888459016774,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
31,330,310,340,0.203948259561402,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
32,340,320,350,0.20346526788219899,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
33,350,330,360,0.20352519471262642,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
34,360,340,370,0.20303033851957938,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
35,370,350,380,0.20275947881665113,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
36,380,360,390,0.2021886108933933,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
37,390,370,400,0.20187018062165285,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
38,400,380,410,0.20126888134447474,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
39,410,390,420,0.2002835453429868,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
40,420,400,430,0.2002453268317859,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
41,430,410,440,0.19979854966745567,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
42,440,420,450,0.19888933549448423,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
43,450,430,460,0.19871396833372712,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
44,460,440,470,0.19841846611470543,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
45,470,450,480,0.19835089768710715,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
46,480,460,490,0.19778915985921094,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
47,490,470,500,0.19727513900324592,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
48,500,480,510,0.1975056367866497,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
49,510,490,520,0.1970936348005847,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
50,520,500,530,0.19678449060377573,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
51,530,510,540,0.19695064890847339,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
52,540,520,550,0.19654155169573875,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
53,550,530,560,0.1963293218974658,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
54,560,540,570,0.1960394596160745,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
55,570,550,580,0.19582984607378223,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
56,580,560,590,0.1956911641804025,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
57,590,570,600,0.1958339725997988,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
58,600,580,610,0.19577091203751387,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
59,610,590,620,0.1956212434743157,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
60,620,600,630,0.1954069709026363,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
61,630,610,640,0.19572613075856465,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
62,640,620,650,0.19565625374341156,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
63,650,630,660,0.19533437377513718,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
64,660,640,670,0.19537067258683236,129,analytic,random,0.0,0.0,0,0.0,0.18372301964974
