step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.2456556914667356,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
1,30,10,40,0.244799144389334,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
2,40,20,50,0.24834461707096653,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
3,50,30,60,0.24119591362624698,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
4,60,40,70,0.23989148547767905,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
5,70,50,80,0.23758990896868915,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
6,80,60,90,0.23615849542402131,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
7,90,70,100,0.2360664589620368,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
8,100,80,110,0.23621521321270778,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
9,110,90,120,0.23531304988315566,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
10,120,100,130,0.23363380718418086,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
11,130,110,140,0.23359761702484788,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
12,140,120,150,0.23346135462119313,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
13,150,130,160,0.23400979880658845,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
14,160,140,170,0.23231263451704473,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
15,170,150,180,0.2319478911711637,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
16,180,160,190,0.2331005977510032,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
17,190,170,200,0.23157742866857728,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
18,200,180,210,0.23015423454650472,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
19,210,190,220,0.2294116966558157,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
20,220,200,230,0.22871548151442436,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
21,230,210,240,0.22834088671737043,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
22,240,220,250,0.22762264894447565,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
23,250,230,260,0.22708843051427674,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
24,260,240,270,0.22708924758162263,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
25,270,250,280,0.2272003628580124,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
26,280,260,290,0.2273631435027179,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
27,290,270,300,0.22690993833939382,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
28,300,280,310,0.22649801884136314,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
29,310,290,320,0.22688469547120735,129,mfvi,trace,0.0,0.0,0,0.0,0.18266610056842786
