step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26522304145520614,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
1,30,10,40,0.2650027362034447,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
2,40,20,50,0.2629180079535253,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
3,50,30,60,0.25314013264951196,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
4,60,40,70,0.24699472966922797,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
5,70,50,80,0.24370036553945196,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
6,80,60,90,0.23932096934282107,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
7,90,70,100,0.23543155603725896,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
8,100,80,110,0.23220268288178755,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
9,110,90,120,0.22855534109994563,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
10,120,100,130,0.22744164558945115,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
11,130,110,140,0.22580851911450883,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
12,140,120,150,0.22583929833373773,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
13,150,130,160,0.22609178471848,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
14,160,140,170,0.22442862564256927,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
15,170,150,180,0.22180617330368646,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
16,180,160,190,0.2218776408293544,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
17,190,170,200,0.2200048383700913,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
18,200,180,210,0.21820248444678628,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
19,210,190,220,0.2160178147492991,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
20,220,200,230,0.21499322073250937,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
21,230,210,240,0.21513719732272008,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
22,240,220,250,0.2135649555389999,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
23,250,230,260,0.213144541809367,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
24,260,240,270,0.21137550589457496,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
25,270,250,280,0.21016595005495062,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
26,280,260,290,0.2097455326736722,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
27,290,270,300,0.20871012671211597,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
28,300,280,310,0.20858072290782292,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
29,310,290,320,0.20808463150167408,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
30,320,300,330,0.20770337830515662,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
31,330,310,340,0.20706372386825148,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
32,340,320,350,0.20710281781868034,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
33,350,330,360,0.2067105889356542,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
34,360,340,370,0.2062227846627586,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
35,370,350,380,0.2052531663694558,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
36,380,360,390,0.2048228917679552,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
37,390,370,400,0.20447590446752523,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
38,400,380,410,0.2040615548408433,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
39,410,390,420,0.20420840878560806,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
40,420,400,430,0.2040468265420342,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
41,430,410,440,0.20371886744512646,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
42,440,420,450,0.2036315558720578,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
43,450,430,460,0.2032047319477022,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
44,460,440,470,0.2031671350529534,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
45,470,450,480,0.2030673836554938,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
46,480,460,490,0.20303770960941592,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
47,490,470,500,0.20279964327508074,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
48,500,480,510,0.2024377556728858,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
49,510,490,520,0.20247166564886307,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
50,520,500,530,0.20207594488211605,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
51,530,510,540,0.2020751837381634,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
52,540,520,550,0.201973146372157,129,vi_full,random,0.0,0.0,0,0.0,0.19033501252314955
