step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26289461596153413,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
1,30,10,40,0.27090689706059534,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
2,40,20,50,0.2720919931463897,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
3,50,30,60,0.27286534783089444,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
4,60,40,70,0.2717175100604256,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
5,70,50,80,0.2688545490682415,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
6,80,60,90,0.25956976874002485,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
7,90,70,100,0.2537664326575719,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
8,100,80,110,0.2523021831089904,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
9,110,90,120,0.2525970671253182,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
10,120,100,130,0.24817439881374248,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
11,130,110,140,0.24677588002261788,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
12,140,120,150,0.24470547906488527,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
13,150,130,160,0.24166978940151995,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
14,160,140,170,0.24029079876006487,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
15,170,150,180,0.2426742487690546,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
16,180,160,190,0.24029856103917893,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
17,190,170,200,0.24274194599151996,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
18,200,180,210,0.24303940893788192,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
19,210,190,220,0.24229908719648532,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
20,220,200,230,0.24133507243560767,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
21,230,210,240,0.23866236938926924,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
22,240,220,250,0.23783154284795258,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
23,250,230,260,0.23524595465105771,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
24,260,240,270,0.23386520598479907,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
25,270,250,280,0.23362094323323734,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
26,280,260,290,0.231896699203681,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
27,290,270,300,0.23104769444721798,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
28,300,280,310,0.23141011137899203,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
29,310,290,320,0.23061081426561506,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
30,320,300,330,0.2300715645287081,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
31,330,310,340,0.2304010175894412,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
32,340,320,350,0.2299878563370249,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
33,350,330,360,0.22578551034042796,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
34,360,340,370,0.22662502370035728,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
35,370,350,380,0.22627987760252236,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
36,380,360,390,0.22608890155478661,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
37,390,370,400,0.22566858131727155,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
38,400,380,410,0.22582830392039546,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
39,410,390,420,0.22523323414990293,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
40,420,400,430,0.22505225087743513,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
41,430,410,440,0.22485711608986272,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
42,440,420,450,0.22523468663263213,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
43,450,430,460,0.22485673607391107,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
44,460,440,470,0.2252041500054728,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
45,470,450,480,0.22446131261171712,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
46,480,460,490,0.22445900673202,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
47,490,470,500,0.22435070159169884,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
48,500,480,510,0.22420844924074004,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
49,510,490,520,0.2240779719204902,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
50,520,500,530,0.22432593257008315,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
51,530,510,540,0.2232889475580072,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
52,540,520,550,0.2233309404994637,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
53,550,530,560,0.22369194428387446,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
54,560,540,570,0.22291778499524773,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
55,570,550,580,0.2228333506197793,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
56,580,560,590,0.22278781200884284,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
57,590,570,600,0.2225497991145746,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
58,600,580,610,0.22246541163740488,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
59,610,590,620,0.22259625288147822,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
60,620,600,630,0.22296845436210253,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
61,630,610,640,0.22315486932425427,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
62,640,620,650,0.22304882059133938,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
63,650,630,660,0.2228805668296644,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
64,660,640,670,0.22272379457946337,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
65,670,650,680,0.22246758454182713,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
66,680,660,690,0.2224373156082405,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
67,690,670,700,0.22231801063243278,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
68,700,680,710,0.2219745925248259,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
69,710,690,720,0.22150880872721518,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
70,720,700,730,0.22091643729162616,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
71,730,710,740,0.22077157400948383,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
72,740,720,750,0.22054231143436512,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
73,750,730,760,0.2202890501704522,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
74,760,740,770,0.22042173710299082,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
75,770,750,780,0.22061259481767467,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
76,780,760,790,0.22109539531189926,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
77,790,770,800,0.22094519081380795,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
78,800,780,810,0.22103407984545054,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
79,810,790,820,0.2208553484997307,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
80,820,800,830,0.22095730109288084,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
81,830,810,840,0.22107681030512336,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
82,840,820,850,0.22085330344059834,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
83,850,830,860,0.2200100206347145,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
84,860,840,870,0.22017208512959244,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
85,870,850,880,0.22007468325761032,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
86,880,860,890,0.2200483123444145,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
87,890,870,900,0.22030114110788782,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
88,900,880,910,0.2202714057418711,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
89,910,890,920,0.22045222741063994,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
90,920,900,930,0.220590936640935,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
91,930,910,940,0.22036474336242515,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
92,940,920,950,0.220291898416198,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
93,950,930,960,0.22035422920408176,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
94,960,940,970,0.22034760358635624,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
95,970,950,980,0.22019530349144031,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
96,980,960,990,0.22017945894343777,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
97,990,970,1000,0.21971374754296782,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
98,1000,980,1010,0.2198293127811041,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
99,1010,990,1020,0.21986487105364855,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
100,1020,1000,,0.2197394030970265,129,vi_full,trace,0.0,0.0,0,0.0,0.18372317246760816
