step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26289461596153413,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
1,30,10,40,0.2583570480126534,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
2,40,20,50,0.25777852995897954,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
3,50,30,60,0.25222582383835623,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
4,60,40,70,0.24711949918005255,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
5,70,50,80,0.23810215605649185,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
6,80,60,90,0.23092453870934765,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
7,90,70,100,0.22608984101665758,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
8,100,80,110,0.2217875818104172,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
9,110,90,120,0.22176491547216165,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
10,120,100,130,0.2196902782541253,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
11,130,110,140,0.21799055670487197,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
12,140,120,150,0.217226266773985,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
13,150,130,160,0.21621957201028888,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
14,160,140,170,0.21539382988638509,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
15,170,150,180,0.2142387048510376,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
16,180,160,190,0.21263447032113586,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
17,190,170,200,0.21086579799869157,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
18,200,180,210,0.2110380084620422,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
19,210,190,220,0.21050833657037196,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
20,220,200,230,0.21037458453984526,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
21,230,210,240,0.20816880873389149,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
22,240,220,250,0.20842658329733277,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
23,250,230,260,0.20793086384811899,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
24,260,240,270,0.207427945414938,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
25,270,250,280,0.20685117168283698,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
26,280,260,290,0.20616347616939815,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
27,290,270,300,0.20586584726542795,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
28,300,280,310,0.20561693800684927,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
29,310,290,320,0.20448177877640467,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
30,320,300,330,0.20435840672318203,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
31,330,310,340,0.2039482954735403,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
32,340,320,350,0.20346518388826995,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
33,350,330,360,0.20352532666415254,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
34,360,340,370,0.20303047079271747,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
35,370,350,380,0.20276003269721327,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
36,380,360,390,0.20218865919296758,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
37,390,370,400,0.20187000525941812,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
38,400,380,410,0.20126922098623587,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
39,410,390,420,0.2002835148686107,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
40,420,400,430,0.20024535121593648,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
41,430,410,440,0.1997985068997639,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
42,440,420,450,0.19888920660484885,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
43,450,430,460,0.19871436762937839,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
44,460,440,470,0.19841807852793744,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
45,470,450,480,0.19835127309665168,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
46,480,460,490,0.1977887710392548,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
47,490,470,500,0.19727528132306324,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
48,500,480,510,0.1975053153952445,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
49,510,490,520,0.19709274293186507,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
50,520,500,530,0.19678463948168692,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
51,530,510,540,0.1969503947896843,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
52,540,520,550,0.19654157653940235,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
53,550,530,560,0.19632861308634117,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
54,560,540,570,0.19603889920115344,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
55,570,550,580,0.1958297962058666,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
56,580,560,590,0.19569100199477427,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
57,590,570,600,0.19583413466702185,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
58,600,580,610,0.19577080603627742,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
59,610,590,620,0.19562110619127987,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
60,620,600,630,0.19540686470397475,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
61,630,610,640,0.19572610581139593,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
62,640,620,650,0.1956561414410336,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
63,650,630,660,0.19533462999627396,129,vi,random,0.0,0.0,0,0.0,0.18372319904461576
