step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26522304145520614,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
1,30,10,40,0.26317750181377114,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
2,40,20,50,0.26339894439091815,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
3,50,30,60,0.2675784238137018,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
4,60,40,70,0.2655320149747719,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
5,70,50,80,0.2602450017531557,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
6,80,60,90,0.25657484174030487,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
7,90,70,100,0.25399334083298325,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
8,100,80,110,0.24732514340943987,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
9,110,90,120,0.24535054442254148,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
10,120,100,130,0.24709212169060044,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
11,130,110,140,0.24369365334306,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
12,140,120,150,0.2458520340697835,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
13,150,130,160,0.24685014708763595,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
14,160,140,170,0.24364424789280373,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
15,170,150,180,0.24193840012103288,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
16,180,160,190,0.2402783216917415,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
17,190,170,200,0.23983999386309615,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
18,200,180,210,0.2410632778053306,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
19,210,190,220,0.2398071531525384,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
20,220,200,230,0.23948560393515828,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
21,230,210,240,0.23788547049013417,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
22,240,220,250,0.2352783528510698,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
23,250,230,260,0.2354004545947979,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
24,260,240,270,0.2342800328433102,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
25,270,250,280,0.23452478547053401,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
26,280,260,290,0.23306455525039088,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
27,290,270,300,0.23352635942624336,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
28,300,280,310,0.23483026616313749,129,vi_full,trace,0.0,0.0,0,0.0,0.19033487142730834
