step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26289461596153413,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
1,30,10,40,0.2619631880895911,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
2,40,20,50,0.26138823346461104,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
3,50,30,60,0.26105422164873143,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
4,60,40,70,0.26296393155122055,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
5,70,50,80,0.2636453806133345,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
6,80,60,90,0.26334941624970903,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
7,90,70,100,0.26386799419288237,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
8,100,80,110,0.2639510304665905,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
9,110,90,120,0.2646725479100307,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
10,120,100,130,0.26848169746744377,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
11,130,110,140,0.26825895364542357,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
12,140,120,150,0.26786423800126813,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
13,150,130,160,0.2678735344686929,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
14,160,140,170,0.26806241985310064,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
15,170,150,180,0.2680248301376432,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
16,180,160,190,0.26677642902988546,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
17,190,170,200,0.26654539987647974,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
18,200,180,210,0.26699981529429473,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
19,210,190,220,0.2664122799904079,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
20,220,200,230,0.266204377326543,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
21,230,210,240,0.2656484732275437,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
22,240,220,250,0.26631857061550834,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
23,250,230,260,0.267458314874136,129,vi,trace,0.0,0.0,0,0.0,0.18372332528534924
