step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.3104496015106558,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
1,30,10,40,0.3004232691137622,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
2,40,20,50,0.29734776501493165,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
3,50,30,60,0.295976337208737,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
4,60,40,70,0.2844556290228979,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
5,70,50,80,0.2892805427640701,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
6,80,60,90,0.290908463910901,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
7,90,70,100,0.2717611651052722,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
8,100,80,110,0.270916755982119,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
9,110,90,120,0.2664011454789562,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
10,120,100,130,0.26450732688635015,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
11,130,110,140,0.2602528912093245,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
12,140,120,150,0.2566583065636587,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
13,150,130,160,0.2559252324593552,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
14,160,140,170,0.251076782640789,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
15,170,150,180,0.24967916913511226,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
16,180,160,190,0.24809388580107128,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
17,190,170,200,0.2496958305869363,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
18,200,180,210,0.24961921195405312,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
19,210,190,220,0.2488849351356968,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
20,220,200,230,0.2500278402467163,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
21,230,210,240,0.24830686423883855,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
22,240,220,250,0.24705959277634315,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
23,250,230,260,0.24643980629151613,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
24,260,240,270,0.2471179678596085,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
25,270,250,280,0.2445353633839337,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
26,280,260,290,0.24382895355914974,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
27,290,270,300,0.2435584583960286,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
28,300,280,310,0.2429552146551397,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
29,310,290,320,0.24143100601219908,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
30,320,300,330,0.23926703872517105,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
31,330,310,340,0.2389578304357539,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
32,340,320,350,0.23879396682862405,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
33,350,330,360,0.23774638741011922,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
34,360,340,370,0.23781697597627466,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
35,370,350,380,0.23764760010557123,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
36,380,360,390,0.2383697683943478,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
37,390,370,400,0.2385712988782127,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
38,400,380,410,0.23588083963690756,129,analytic,trace,0.0,0.0,0,0.0,0.1905646292722957
