step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26695266544078095,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
1,30,10,40,0.27511664784573653,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
2,40,20,50,0.27078260242016566,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
3,50,30,60,0.2588820805707205,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
4,60,40,70,0.2616841488321369,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
5,70,50,80,0.2617470600360203,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
6,80,60,90,0.2555109865696826,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
7,90,70,100,0.25192069801018235,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
8,100,80,110,0.24638528366729312,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
9,110,90,120,0.2415976385342218,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
10,120,100,130,0.24032238479345303,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
11,130,110,140,0.23524463662855313,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
12,140,120,150,0.23411029844058015,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
13,150,130,160,0.23284599171850692,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
14,160,140,170,0.2312982213236842,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
15,170,150,180,0.22757011925929005,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
16,180,160,190,0.22652054568446436,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
17,190,170,200,0.223444656790977,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
18,200,180,210,0.2229323178890288,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
19,210,190,220,0.22219536730094083,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
20,220,200,230,0.2220410250311302,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
21,230,210,240,0.22086204731757897,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
22,240,220,250,0.22119146471439624,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
23,250,230,260,0.21949728384922557,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
24,260,240,270,0.21813751307231638,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
25,270,250,280,0.21697772018040815,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
26,280,260,290,0.21676465132142742,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
27,290,270,300,0.21589581046551715,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
28,300,280,310,0.2140354453706208,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
29,310,290,320,0.21345915199473764,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
30,320,300,330,0.21270790610673715,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
31,330,310,340,0.21182720930409885,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
32,340,320,350,0.211157015408558,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
33,350,330,360,0.2120062047662167,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
34,360,340,370,0.21103584512989138,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
35,370,350,380,0.21068131433740747,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
36,380,360,390,0.20994217721419747,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
37,390,370,400,0.2091763983459893,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
38,400,380,410,0.20908528229752926,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
39,410,390,420,0.2088192016658789,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
40,420,400,430,0.20897377601627434,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
41,430,410,440,0.20869745783370242,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
42,440,420,450,0.20775682994940264,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
43,450,430,460,0.2077416467559526,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
44,460,440,470,0.20800049062817738,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
45,470,450,480,0.20820553762673438,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
46,480,460,490,0.2073843568940893,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
47,490,470,500,0.2071730292834953,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
48,500,480,510,0.2068120891881686,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
49,510,490,520,0.20657026507719475,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
50,520,500,530,0.20581377875020296,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
51,530,510,540,0.20580035029048785,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
52,540,520,550,0.20527576488333324,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
53,550,530,560,0.2048447511417183,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
54,560,540,570,0.20410250373586797,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
55,570,550,580,0.20372688471256684,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
56,580,560,590,0.2037917542531162,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
57,590,570,600,0.20328206667783683,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
58,600,580,610,0.20344284027169032,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
59,610,590,620,0.20323812955419437,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
60,620,600,630,0.20372005387679068,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
61,630,610,640,0.20371416958725527,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
62,640,620,650,0.20373888006465532,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
63,650,630,660,0.20383830285532084,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
64,660,640,670,0.20357588179457187,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
65,670,650,680,0.2030549518641752,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
66,680,660,690,0.20282622257119517,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
67,690,670,700,0.20300362960502086,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
68,700,680,710,0.20254975035083972,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
69,710,690,720,0.20234963794522218,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
70,720,700,730,0.20226265870266005,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
71,730,710,740,0.20198833409228117,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
72,740,720,750,0.20176324789992106,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
73,750,730,760,0.20210080734159624,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
74,760,740,770,0.20202297812725722,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
75,770,750,780,0.20196722327482683,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
76,780,760,790,0.20181905305441616,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
77,790,770,800,0.20165821370886433,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
78,800,780,810,0.2014905091883207,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
79,810,790,820,0.20124409201343652,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
80,820,800,830,0.20094827682997807,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
81,830,810,840,0.20091144854450182,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
82,840,820,850,0.20079792610708472,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
83,850,830,860,0.2007589542581943,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
84,860,840,870,0.20059475774789703,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
85,870,850,880,0.20037298594394842,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
86,880,860,890,0.20029611867495087,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
87,890,870,900,0.20023841380534668,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
88,900,880,910,0.20030031773603418,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
89,910,890,920,0.20025397692290034,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
90,920,900,930,0.20015671350453748,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
91,930,910,940,0.19992174982899558,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
92,940,920,950,0.19976194939422584,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
93,950,930,960,0.19978065364372122,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
94,960,940,970,0.19964887390506988,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
95,970,950,980,0.19957940393878948,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
96,980,960,990,0.199688361940628,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
97,990,970,1000,0.19933941811212666,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
98,1000,980,1010,0.19925078173858565,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
99,1010,990,1020,0.19902646970825577,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
100,1020,1000,,0.19923832011720286,129,mfvi,random,0.0,0.0,0,0.0,0.1843201653098319
