step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26695261056798547,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
1,30,10,40,0.2693079781762416,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
2,40,20,50,0.2681772148313266,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
3,50,30,60,0.2741359294446826,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
4,60,40,70,0.2708568038708369,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
5,70,50,80,0.2734352589193875,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
6,80,60,90,0.2687053832877423,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
7,90,70,100,0.26865750588574666,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
8,100,80,110,0.26965252706318643,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
9,110,90,120,0.27062700273508367,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
10,120,100,130,0.2710855906553085,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
11,130,110,140,0.2721887467680975,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
12,140,120,150,0.27245692033328867,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
13,150,130,160,0.26977156858859314,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
14,160,140,170,0.26594278784402103,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
15,170,150,180,0.26927878574652886,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
16,180,160,190,0.26956349444808453,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
17,190,170,200,0.2754846670103665,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
18,200,180,210,0.2745872079424404,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
19,210,190,220,0.26946885147278615,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
20,220,200,230,0.2678338764076765,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
21,230,210,240,0.2668130142446438,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
22,240,220,250,0.26522259040462126,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
23,250,230,260,0.26384610215995236,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
24,260,240,270,0.2616032207699047,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
25,270,250,280,0.26288526415410773,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
26,280,260,290,0.262692907168356,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
27,290,270,300,0.26293917874434386,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
28,300,280,310,0.2628594265477272,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
29,310,290,320,0.2625973126915287,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
30,320,300,330,0.26167048062341214,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
31,330,310,340,0.2629099384621804,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
32,340,320,350,0.2635556340995673,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
33,350,330,360,0.26527817431071293,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
34,360,340,370,0.26530610453128006,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
35,370,350,380,0.2652429881701635,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
36,380,360,390,0.2648493085699866,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
37,390,370,400,0.2627086317487732,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
38,400,380,410,0.2624661343482002,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
39,410,390,420,0.26059361696542954,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
40,420,400,430,0.2610492182251031,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
41,430,410,440,0.26209910793974955,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
42,440,420,450,0.2604618325416173,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
43,450,430,460,0.25928334223875626,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
44,460,440,470,0.2592185145417858,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
45,470,450,480,0.2607542769903305,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
46,480,460,490,0.26114379008807104,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
47,490,470,500,0.26072072769836024,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
48,500,480,510,0.26083284765163783,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
49,510,490,520,0.26037908999728165,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
50,520,500,530,0.25995092310256374,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
51,530,510,540,0.25862717873055224,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
52,540,520,550,0.2576994354348443,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
53,550,530,560,0.2573761363956214,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
54,560,540,570,0.25757212278796787,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
55,570,550,580,0.25717643126242146,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
56,580,560,590,0.25682949908755126,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
57,590,570,600,0.25682383348379584,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
58,600,580,610,0.25594228856936674,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
59,610,590,620,0.25559021386171066,129,vi,trace,0.0,0.0,0,0.0,0.18433240371294937
