step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.27428568449474355,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
1,30,10,40,0.27711100269115985,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
2,40,20,50,0.29123923665733986,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
3,50,30,60,0.2833783703482854,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
4,60,40,70,0.27287314975895854,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
5,70,50,80,0.26208183769280446,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
6,80,60,90,0.2595950027055365,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
7,90,70,100,0.2606448583561548,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
8,100,80,110,0.25475481280721174,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
9,110,90,120,0.2515635772492463,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
10,120,100,130,0.24847848521992302,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
11,130,110,140,0.24598428120829693,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
12,140,120,150,0.24168380080243793,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
13,150,130,160,0.23938091539688372,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
14,160,140,170,0.239077440301124,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
15,170,150,180,0.23828342212124726,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
16,180,160,190,0.2343085530809215,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
17,190,170,200,0.232222175237153,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
18,200,180,210,0.2297603519668646,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
19,210,190,220,0.2260275257193524,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
20,220,200,230,0.22609619038074813,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
21,230,210,240,0.22409080626639952,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
22,240,220,250,0.22252546597594733,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
23,250,230,260,0.22266350865361278,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
24,260,240,270,0.22111804195171977,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
25,270,250,280,0.2209368590867649,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
26,280,260,290,0.22107097939279027,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
27,290,270,300,0.22016759418963092,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
28,300,280,310,0.21938879942353484,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
29,310,290,320,0.22001910872268574,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
30,320,300,330,0.21829933488074352,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
31,330,310,340,0.2176302366902977,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
32,340,320,350,0.2170558953789323,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
33,350,330,360,0.21623548090710043,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
34,360,340,370,0.2156016291682417,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
35,370,350,380,0.2153445300014897,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
36,380,360,390,0.21489331246501717,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
37,390,370,400,0.21491903226491482,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
38,400,380,410,0.2155107713737877,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
39,410,390,420,0.21519879753599347,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
40,420,400,430,0.2143608436470208,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
41,430,410,440,0.2136556580911795,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
42,440,420,450,0.2130721846214916,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
43,450,430,460,0.2126146749403719,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
44,460,440,470,0.21240674654201194,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
45,470,450,480,0.21166283855831305,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
46,480,460,490,0.21193482977158923,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
47,490,470,500,0.21159508611673855,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
48,500,480,510,0.21118402261120514,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
49,510,490,520,0.21075470088544287,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
50,520,500,530,0.20968782600570782,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
51,530,510,540,0.2096879540792401,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
52,540,520,550,0.2093666276311127,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
53,550,530,560,0.20918638892743477,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
54,560,540,570,0.20881865216543158,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
55,570,550,580,0.20856183042295875,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
56,580,560,590,0.20848365540327737,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
57,590,570,600,0.20812475365976413,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
58,600,580,610,0.2076523819240945,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
59,610,590,620,0.20745003634158515,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
60,620,600,630,0.20713873389138257,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
61,630,610,640,0.20657277064103222,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
62,640,620,650,0.20647305646712114,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
63,650,630,660,0.20623978431139928,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
64,660,640,670,0.20583693248160667,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
65,670,650,680,0.2057266205011216,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
66,680,660,690,0.20552380441128346,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
67,690,670,700,0.20531125142314413,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
68,700,680,710,0.20502703232592281,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
69,710,690,720,0.20470107302326238,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
70,720,700,730,0.20451047927383206,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
71,730,710,740,0.20432183463686646,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
72,740,720,750,0.20427079482194097,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
73,750,730,760,0.2042412119437456,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
74,760,740,770,0.20410265923748397,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
75,770,750,780,0.2039388743058199,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
76,780,760,790,0.20383974011079758,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
77,790,770,800,0.20381211907738092,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
78,800,780,810,0.20361435045432702,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
79,810,790,820,0.20326748608283987,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
80,820,800,830,0.20289278794091598,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
81,830,810,840,0.2027700263691604,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
82,840,820,850,0.2025914386533276,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
83,850,830,860,0.2023493242475435,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
84,860,840,870,0.20225247700121005,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
85,870,850,880,0.20223643389684387,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
86,880,860,890,0.20236687850442572,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
87,890,870,900,0.2024985170663294,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
88,900,880,910,0.20252244763698418,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
89,910,890,920,0.20227821091104944,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
90,920,900,930,0.20233046529749293,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
91,930,910,940,0.20213796847891108,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
92,940,920,950,0.20194468369689136,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
93,950,930,960,0.20180718554283134,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
94,960,940,970,0.20196843208430804,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
95,970,950,980,0.2016717666527562,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
96,980,960,990,0.20172330673590683,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
97,990,970,1000,0.20179724097431004,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
98,1000,980,1010,0.20171507064808644,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
99,1010,990,1020,0.20150226813239597,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
100,1020,1000,,0.20137093003917858,129,vi_full,random,0.0,0.0,0,0.0,0.18598327298988812
