step,labels,labels_from_pool,labels_after,test_rmse,K,inference_method,acquisition,pool_ood_ratio,ood_in_batch_rate,ood_cum_count,ood_cum_rate,upper_bound_rmse
0,20,0,30,0.26695261056798547,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
1,30,10,40,0.27511648811230854,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
2,40,20,50,0.27078250324291636,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
3,50,30,60,0.25888209000129286,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
4,60,40,70,0.2616841861505009,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
5,70,50,80,0.2617467988701103,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
6,80,60,90,0.25551087190971444,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
7,90,70,100,0.25192129886199083,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
8,100,80,110,0.2463851845783092,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
9,110,90,120,0.24159746674479018,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
10,120,100,130,0.24032259812983672,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
11,130,110,140,0.23524440830894366,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
12,140,120,150,0.2341102671552446,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
13,150,130,160,0.2328461594795478,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
14,160,140,170,0.2312983479864264,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
15,170,150,180,0.22757021581261463,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
16,180,160,190,0.2265203516829393,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
17,190,170,200,0.2234444491926349,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
18,200,180,210,0.2229320550568603,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
19,210,190,220,0.2221953343379705,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
20,220,200,230,0.22204045327512958,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
21,230,210,240,0.22086172675171675,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
22,240,220,250,0.2211914867894445,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
23,250,230,260,0.2194972393583516,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
24,260,240,270,0.21813773691322874,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
25,270,250,280,0.21697773143228316,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
26,280,260,290,0.2167651581529248,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
27,290,270,300,0.21589542598428874,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
28,300,280,310,0.2140359586648059,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
29,310,290,320,0.21345923205614697,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
30,320,300,330,0.21270867511399247,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
31,330,310,340,0.21182807371191384,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
32,340,320,350,0.21115735070750558,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
33,350,330,360,0.21200652720641644,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
34,360,340,370,0.21103577571779744,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
35,370,350,380,0.2106811173387995,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
36,380,360,390,0.20994229350362564,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
37,390,370,400,0.20917622327313518,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
38,400,380,410,0.20908517720805797,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
39,410,390,420,0.20881921335736206,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
40,420,400,430,0.20897405640413835,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
41,430,410,440,0.2086971653759042,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
42,440,420,450,0.20775665368030333,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
43,450,430,460,0.20774175252507016,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
44,460,440,470,0.20800034977810133,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
45,470,450,480,0.20820598321208855,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
46,480,460,490,0.20738459234143938,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
47,490,470,500,0.20717293500841272,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
48,500,480,510,0.20681217182279793,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
49,510,490,520,0.20657025325842537,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
50,520,500,530,0.20581386178565572,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
51,530,510,540,0.20580050450922124,129,vi,random,0.0,0.0,0,0.0,0.1843200725915554
